Schemat,Maks. wynik,Średni wynik,Końcowa średnia,Ranking maks.,Ranking śr.,Ranking końc.,Suma rankingów
dense,55,14.396666666666667,18.84,1.0,1.0,3.0,5.0
default,41,12.48,19.04,3.0,3.0,1.0,7.0
food_focus,37,12.83,18.97,5.0,2.0,2.0,9.0
sparse,42,11.85,17.53,2.0,4.0,5.0,11.0
survival_focus,38,11.353333333333333,18.37,4.0,5.0,4.0,13.0
