Schemat,Maks. wynik,Średni wynik,Końcowa średnia
default,41,12.48,19.04
sparse,42,11.85,17.53
dense,55,14.396666666666667,18.84
food_focus,37,12.83,18.97
survival_focus,38,11.353333333333333,18.37
