nazwa_architektury,liczba_warstw,liczba_parametrów,średni_wynik,maks_wynik,czas_treningu,rozmiar_modelu,konwergencja_epsilon,średnia_strata
Oryginalna sieć (QNetwork),4,102147,15.6,22,644.0619473457336,1.1784086227416992,4669,1.9934814788951354
1 warstwa (32),1,483,11.85,20,524.339793920517,0.011612892150878906,4704,7.709081398357675
1 warstwa (64),1,963,12.35,18,524.8895695209503,0.017106056213378906,4712,8.781157419904396
1 warstwa (128),1,1923,13.6,29,915.1576325893402,0.028174400329589844,4687,8.175380611668768
1 warstwa (256),1,3843,15.0,28,986.8889653682709,0.050147056579589844,4673,6.889445280921874
"2 warstwy (64, 32)",2,2947,10.55,18,1083.0007269382477,0.042077064514160156,4662,6.344599610970668
"2 warstwy (128, 64)",2,9987,11.85,19,1102.2971866130829,0.12267208099365234,4675,7.666924814511266
"3 warstwy (128, 128, 64)",3,26499,12.6,18,1083.59823346138,0.3141298294067383,4661,7.901554811013492
